2012-12-27 14:03:47	- AGENT - Accept connect from address	127.0.0.1
2012-12-27 14:03:47	- AGENT - Agent login successful 	127.0.0.1	6001
2012-12-27 14:04:12	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:04:28	- AGENT - Ring noAns	6001	SIP/8001	8003
2012-12-27 14:04:29	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:04:32	- AGENT - Ring noAns	6001	SIP/8001	8003
2012-12-27 14:05:04	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:05:09	- AGENT - Connect Queue	6001	SIP/8001	8003
2012-12-27 14:05:39	- AGENT - Agent complete	6001	SIP/8001	8003
2012-12-27 14:06:42	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:06:48	- AGENT - Connect Queue	6001	SIP/8001	8003
2012-12-27 14:06:57	- AGENT - Caller complete	6001	SIP/8001	8003
2012-12-27 14:07:38	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:07:42	- AGENT - Abandon Call	6001	SIP/8001	8003
2012-12-27 14:08:33	- AGENT - Accept connect from address	127.0.0.1
2012-12-27 14:08:33	- AGENT - Agent login successful 	127.0.0.1	6002
2012-12-27 14:08:58	- AGENT - Enter Queue	6002	SIP/8004	8003
2012-12-27 14:09:13	- AGENT - Ring noAns	6002	SIP/8004	8003
2012-12-27 14:09:14	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:09:18	- AGENT - Ring noAns	6001	SIP/8001	8003
2012-12-27 14:09:56	- AGENT - Enter Queue	6002	SIP/8004	8003
2012-12-27 14:10:04	- AGENT - Connect Queue	6002	SIP/8004	8003
2012-12-27 14:10:08	- AGENT - Caller complete	6002	SIP/8004	8003
2012-12-27 14:10:12	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:10:17	- AGENT - Connect Queue	6001	SIP/8001	8003
2012-12-27 14:10:23	- AGENT - Caller complete	6001	SIP/8001	8003
2012-12-27 14:10:24	- AGENT - Enter Queue	6002	SIP/8004	8003
2012-12-27 14:10:31	- AGENT - Connect Queue	6002	SIP/8004	8003
2012-12-27 14:10:40	- AGENT - Caller complete	6002	SIP/8004	8003
2012-12-27 14:10:41	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:10:57	- AGENT - Ring noAns	6001	SIP/8001	8003
2012-12-27 14:10:58	- AGENT - Enter Queue	6002	SIP/8004	8003
2012-12-27 14:11:01	- AGENT - Ring noAns	6002	SIP/8004	8003
2012-12-27 14:11:25	- AGENT - Enter Queue	6001	SIP/8001	8003
